Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
2020-07-06 20:17:34 IST,36.91,70.77,38,3.3[ML],"28km SE of Fayzabad, Afghanistan"
2020-07-06 20:57:27 IST,37.1,71.19,100,3.6[ML],"56km E of Fayzabad, Afghanistan"
2020-07-06 21:36:22 IST,34.5,68.81,14,4.3[ML],"36km W of Kabul , Afghanistan"
2020-07-07 00:54:28 IST,32.99,73.58,10,4.1[ML],"80km WSW of Rajouri, Jammu and Kashmir"
2020-07-07 01:03:28 IST,31.18,78.48,5,2.0[ML],"50km N of Uttarkashi, Uttarakhand, India"
2020-07-07 01:33:13 IST,28.78,91.83,10,3.0[ML],"133km N of Tawang, Arunachal Pradesh, India"
2020-07-07 01:53:27 IST,29.9,96.13,10,3.6[ML],"212km NNE of Pangin, Arunachal Pradesh, India"
2020-07-08 02:12:22 IST,33.1,73.72,10,4.0[MW],"63km WSW of Rajouri, Jammu and Kashmir"
2020-07-08 05:19:28 IST,12.96,92.63,10,4.4[ML],"51km SW of Diglipur, Andaman and Nicobar island, India"
2020-07-08 09:33:56 IST,2.25,97.23,35,4.7[Mb],"504km WSW of Kuala Lumpur, Malaysia"
2020-07-08 14:26:31 IST,26.39,93.22,34,2.8[MW],"51km SE of Tezpur, Assam, India"
2020-07-09 00:55:47 IST,36.9,71.89,150,3.4[MW],"121km E of Fayzabad, Afghanistan"
2020-07-09 03:38:24 IST,25.58,91.55,5,2.4[MW],"34km W of Shillong, Meghalaya, India"
2020-07-10 15:03:43 IST,37.19,71.43,121,3.8[ML],"78km E of Fayzabad, Afghanistan"
2020-07-11 09:50:02 IST,36.47,70.53,326,4.1[ML],"70km S of Fayzabad, Afghanistan"
2020-07-11 10:27:31 IST,36.23,69.84,90,3.7[ML],"115km SSW of Fayzabad, Afghanistan"
2020-07-11 13:03:40 IST,37.81,72.39,125,3.5[MW],"180km ENE of Fayzabad, Afghanistan"
2020-07-12 08:19:26 IST,36.46,71.19,150,4.8[ML],"91km SE of Fayzabad, Afghanistan"
2020-07-12 20:45:11 IST,36.98,71.68,150,3.4[MW],"101km E of Fayzabad, Afghanistan"
2020-07-13 01:04:51 IST,8.83,93.83,10,4.1[MW],"202km N of Campbell Bay, Andaman and Nicobar island, India"
2020-07-13 02:36:51 IST,14.34,93.7,28,4.1[MW],"142km NNE of Diglipur, Andaman and Nicobar island, India"
2020-07-13 03:41:05 IST,34.42,81.31,10,3.9[MW],"290km NE of Hanley, Jammu & Kashmir, India"
2020-07-13 06:28:48 IST,5.39,94.5,44,5.1[MW],"191km SSE of Campbell Bay, Andaman and Nicobar island, India"
2020-07-13 10:27:56 IST,26.3,92.8,16,2.2[MW],"39km S of Tezpur, Assam, India"
2020-07-14 08:32:55 IST,27.22,95.21,9,3.4[ML],"40km SE of Dibrugarh, Assam, India"
2020-07-14 13:04:22 IST,36.62,71.18,100,4.8[ML],"77km SE of Fayzabad, Afghanistan"
2020-07-14 14:57:15 IST,23.5,94.15,95,3.5[ML],"84km E of Champhai, Mizoram, India"
2020-07-14 15:03:50 IST,24.21,82.46,5,3.2[MW],"140km NNW of Ambikapur, Chhattisgarh, India"
2020-07-15 10:15:33 IST,36.6,70.31,95,3.8[MW],"59km SSW of Fayzabad, Afghanistan"
2020-07-15 23:03:55 IST,37.26,72.6,82,4.1[ML],"182km E of Fayzabad, Afghanistan"
2020-07-16 02:04:55 IST,36.3,70.77,90,3.4[MW],"91km SSE of Fayzabad, Afghanistan"
2020-07-16 06:51:54 IST,24.56,94.96,35,3.5[MW],"63km SE of Ukhrul, Manipur, India"
2020-07-16 07:40:28 IST,22.13,70.86,10,4.0[ML],"20km SSE of Rajkot, Gujarat, India"
2020-07-16 07:55:31 IST,38.14,73.9,33,3.8[MW],"316km ENE of Fayzabad, Afghanistan"
2020-07-16 07:57:39 IST,24.68,92.38,29,4.0[ML],"40km NE of Dharmanagar, Tripura, India"
2020-07-16 18:38:52 IST,33.14,76.4,5,3.7[ML],"102km N of Dharamshala, Himachal Pradesh, India"
2020-07-16 19:04:39 IST,23.89,95.5,150,4.0[MW],"155km SE of Ukhrul, Manipur, India"
2020-07-17 04:55:36 IST,32.99,75.9,4,3.8[ML],"90km E of Katra, Jammu and Kashmir, India"
2020-07-17 10:31:19 IST,11.82,94.93,34,4.5[MW],"240km E of Portblair, Andaman and Nicobar island, India"
2020-07-17 11:07:17 IST,11.86,95.4,10,4.3[Mb],"292km E of Portblair, Andaman and Nicobar island, India"
2020-07-17 15:30:57 IST,35.64,68.9,15,4.3[MW],"123km NNW of Kabul , Afghanistan"
2020-07-17 15:56:40 IST,23.23,93.44,10,4.0[MW],"27km SSE of Champhai, Mizoram, India"
2020-07-17 18:59:06 IST,11.7,94.78,8,4.8[MW],"223km E of Portblair, Andaman and Nicobar island, India"
2020-07-17 19:33:51 IST,12.8,94.39,10,5.9[MW],"161km ESE of Diglipur, Andaman and Nicobar island, India"
2020-07-17 20:13:16 IST,11.75,95.13,23,4.9[Mb],"262km E of Portblair, Andaman and Nicobar island, India"
2020-07-17 22:03:52 IST,23.8,93.38,10,4.9[MW],"19km ESE of Ngopa, Mizoram, India"
2020-07-17 22:35:33 IST,23.18,93.33,10,3.2[MW],"30km S of Champhai, Mizoram, India"
2020-07-17 23:15:28 IST,12.27,94.9,8,4.8[Mb],"235km ESE of Diglipur, Andaman and Nicobar island, India"
2020-07-18 00:03:00 IST,12.13,95.21,10,5.9[Mb],"272km ESE of Diglipur, Andaman and Nicobar island, India"
2020-07-18 02:21:20 IST,36.9,71.64,250,4.3[ML],"99km ESE of Fayzabad, Afghanistan"
2020-07-18 04:25:37 IST,24.55,92.43,30,3.9[ML],"33km NE of Dharmanagar, Tripura, India"
2020-07-18 18:15:48 IST,37.39,71.95,150,3.9[ML],"128km ENE of Fayzabad, Afghanistan"
2020-07-18 20:31:30 IST,22.88,93.62,10,3.4[MW],"70km SSE of Champhai, Mizoram, India"
2020-07-19 00:08:24 IST,21.75,96.96,10,4.3[MW],"57km N of Lawksawk, Myanmar"
2020-07-19 02:06:52 IST,30.29,96.22,37,3.9[MW],"255km NNE of Pangin, Arunachal Pradesh, India"
2020-07-19 02:44:43 IST,35.52,70.52,77,4.6[ML],"160km NE of Kabul , Afghanistan"
2020-07-19 11:53:06 IST,35.84,77.44,126,3.9[MW],"182km N of Alchi(Leh),Jammu & Kashmir,India"
2020-07-19 15:45:44 IST,30.64,95.11,10,4.8[Mb],"278km N of Pangin, Arunachal Pradesh, India"
2020-07-19 21:33:58 IST,17.37,73.81,5,2.7[ML],"87km NNW of Kolhapur, Maharashtra, India"
2020-07-20 02:30:48 IST,24.93,94.47,59,3.6[ML],"1km WSW of Ukhrul, Manipur, India"
2020-07-20 03:39:33 IST,22.99,93.31,10,3.4[MW],"51km S of Champhai, Mizoram, India"
2020-07-20 05:06:18 IST,31.94,95.2,10,4.8[Mb],"422km N of Pangin, Arunachal Pradesh, India"
2020-07-20 10:31:39 IST,29.44,68.38,10,3.9[MW],"506km WNW of Bikaner, Rajasthan, India"
2020-07-20 13:33:49 IST,36.13,69.55,267,4.1[ML],"140km SW of Fayzabad, Afghanistan"
2020-07-20 22:02:30 IST,32.96,75.86,5,3.3[ML],"86km E of Katra, Jammu and Kashmir, India"
2020-07-20 23:55:28 IST,37.41,72.13,222,4.3[MW],"144km ENE of Fayzabad, Afghanistan"
2020-07-21 00:51:46 IST,30.16,94.58,26,4.9[Mb],"234km NNW of Pangin, Arunachal Pradesh, India"
2020-07-21 01:09:17 IST,30.2,95.27,10,3.2[ML],"228km N of Pangin, Arunachal Pradesh, India"
2020-07-21 04:22:51 IST,11.97,94.87,10,4.3[Mb],"236km E of Portblair, Andaman and Nicobar island, India"
2020-07-21 07:03:59 IST,35.21,82.35,10,4.2[MW],"419km NE of Hanley, Jammu & Kashmir, India"
2020-07-21 07:45:23 IST,30.28,95.1,10,3.8[MW],"238km N of Pangin, Arunachal Pradesh, India"
2020-07-21 11:48:48 IST,30.51,94.87,10,4.6[Mb],"266km N of Pangin, Arunachal Pradesh, India"
2020-07-21 18:56:21 IST,30.47,94.84,10,4.3[Mb],"262km N of Pangin, Arunachal Pradesh, India"
2020-07-21 23:45:14 IST,26.79,95.96,92,3.2[MW],"125km SSW of Changlang, Arunachal Pradesh, India"
2020-07-22 02:01:58 IST,36.83,71.1,150,3.5[MW],"57km ESE of Fayzabad, Afghanistan"
2020-07-22 17:22:21 IST,32.21,76.64,5,2.7[MW],"29km E of Dharamshala, Himachal Pradesh, India"
2020-07-22 17:40:49 IST,32.57,69.38,33,3.8[MW],"221km S of Kabul , Afghanistan"
2020-07-22 18:33:07 IST,32.33,76.46,5,2.6[MW],"17km NE of Dharamshala, Himachal Pradesh, India"
2020-07-22 20:03:52 IST,32.79,79.44,36,3.0[MW],"45km ENE of Hanley, Jammu & Kashmir, India"
2020-07-23 01:02:00 IST,36.47,70.62,106,3.7[ML],"70km S of Fayzabad, Afghanistan"
2020-07-23 01:37:24 IST,32.8,86.71,10,6.0[MW],"580km NNE of Kathmandu, Nepal"
2020-07-23 02:20:43 IST,34.61,70.75,90,3.7[MW],"141km E of Kabul , Afghanistan"
2020-07-23 02:51:57 IST,24.82,95.28,114,3.6[MW],"81km E of Ukhrul, Manipur, India"
2020-07-23 03:58:30 IST,33.14,87.49,15,4.0[MW],"617km N of Lachung, Sikkim, India"
2020-07-23 06:17:48 IST,30.15,94.57,10,4.5[MW],"233km NNW of Pangin, Arunachal Pradesh, India"
2020-07-23 06:20:33 IST,33.69,76.46,5,3.0[ML],"88km SW of Alchi(Leh),Jammu & Kashmir,India"
2020-07-23 06:47:55 IST,23.4,70.28,7,3.2[MW],"133km NNW of Rajkot, Gujarat, India"
2020-07-23 08:08:05 IST,36.6,70.1,100,3.3[ML],"68km SW of Fayzabad, Afghanistan"
2020-07-23 12:17:36 IST,30.1,72.34,10,3.5[ML],"249km NNW of Bikaner, Rajasthan, India"
2020-07-23 16:20:15 IST,32.66,86.58,10,4.9[Mb],"562km NNE of Kathmandu, Nepal"
2020-07-23 18:32:53 IST,36.58,71.51,235,3.5[ML],"103km ESE of Fayzabad, Afghanistan"
2020-07-23 18:44:06 IST,34.2,74.73,5,3.1[MW],"14km NNW of Srinagar, Jammu and Kashmir, India"
2020-07-24 00:26:42 IST,19.96,72.88,10,3.0[MW],"95km W of Nashik, Maharashtra, India"
2020-07-24 05:11:21 IST,32.94,75.91,5,2.9[ML],"89km NNW of Dharamshala, Himachal Pradesh, India"
2020-07-24 06:02:09 IST,28.3,78.6,10,3.0[ML],"121km ESE of Noida, Uttar Pradesh, India"
2020-07-24 11:08:15 IST,26.23,93.1,33,3.2[ML],"56km SE of Tezpur, Assam, India"
2020-07-24 11:15:47 IST,22.49,93.81,10,4.1[MW],"118km SSE of Champhai, Mizoram, India"
2020-07-24 16:09:16 IST,35.75,69.19,132,3.7[ML],"132km N of Kabul , Afghanistan"
2020-07-24 19:04:23 IST,30.53,95.2,10,4.5[MW],"265km N of Pangin, Arunachal Pradesh, India"
2020-07-25 01:16:05 IST,30.63,87.66,10,3.8[MW],"343km NNW of Lachung, Sikkim, India"
2020-07-25 05:52:21 IST,23.12,94.34,90,3.6[ML],"109km ESE of Champhai, Mizoram, India"
2020-07-25 05:55:44 IST,36.1,70.82,130,3.4[ML],"113km SSE of Fayzabad, Afghanistan"
2020-07-25 11:44:47 IST,37.62,76.94,75,3.8[ML],"348km N of Kargil, Laddakh, India"
2020-07-25 21:28:30 IST,30.97,95.14,10,4.7[Mb],"314km N of Pangin, Arunachal Pradesh, India"
2020-07-26 07:37:31 IST,25.48,91.37,0,2.5[ML],"43km WNW of Cherrapunjee, Meghalaya, India"
2020-07-26 15:28:51 IST,30.95,94.53,10,4.2[MW],"320km NNW of Pangin, Arunachal Pradesh, India"
