Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
1997-04-11 09:59:11 IST,39.60,76.90,33,4.5,"412km SSE of Bishkek, Kyrgyzstan"
1997-04-11 11:04:42 IST,39.50,76.90,15,5.8,"422km SSE of Bishkek, Kyrgyzstan"
1997-04-11 14:35:17 IST,39.60,76.90,33,4.3,"412km SSE of Bishkek, Kyrgyzstan"
1997-04-11 18:02:16 IST,39.40,76.60,33,4.5,"422km SSE of Bishkek, Kyrgyzstan"
1997-04-11 21:26:20 IST,37.20,72.20,256,3.1,"146km E of Fayzabad, Afghanistan"
1997-04-11 22:01:55 IST,30.20,68,33,3.6,"497km SSW of Kabul , Afghanistan"
1997-04-12 02:18:48 IST,39.50,76.40,200,3.7,"405km SSE of Bishkek, Kyrgyzstan"
1997-04-12 14:31:13 IST,31.30,74.80,100,3.8,"37km S of Amritsar, Punjab, India"
1997-04-13 02:39:08 IST,37.50,76.90,20,5.2,"334km N of Kargil, Laddakh, India"
1997-04-13 16:57:55 IST,29,69.50,33,4.2,"388km WNW of Bikaner, Rajasthan, India"
